GDP_Type,GuardiumVersion,OSName,OSVersion,DatabaseName,DatabaseVersion,Network traffic,Local traffic,Encrypted traffic,Shared Memory,Kerberos,Blocking,Redaction,UID Chain,Compression,Query Rewrite,Instance Discovery,Protocol,Notes
GDP,11.5,CentOS,CentOS 7x,Aster,Aster 6.20,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,
GDP,11.5,Red Hat,Red Hat 7,Aster,Aster 6.20,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,Little endian and Big endian supported on Power 8 RHEL 7.x 7.6 PPC64LE SSL encryption not supported
GDP,11.5,Red Hat,Red Hat 8,Aster,Aster 6.20,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,
GDP,11.5,Red Hat,Red Hat 9,Aster,Aster 6.20,KTAP,KTAP,,,,KTAP,KTAP,KTAP,,,,,
GDP,11.5,CentOS,CentOS 7x,Apache Cassandra,Cassandra 3.5,"KTAP, Audit Plugin","KTAP, Audit Plugin",Audit Plugin,,,KTAP,KTAP,KTAP,KTAP,,,,
GDP,11.5,Red Hat,Red Hat 7,Apache Cassandra,Cassandra 3.5,"KTAP, Audit Plugin","KTAP, Audit Plugin",Audit Plugin,,,KTAP,KTAP,KTAP,KTAP,,,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE Cassandra Compression supported
GDP,11.5,Red Hat,Red Hat 8,Apache Cassandra,Cassandra 3.5,"KTAP, Audit Plugin","KTAP, Audit Plugin",Audit Plugin,,,KTAP,KTAP,KTAP,KTAP,,,,
GDP,11.5,Red Hat,Red Hat 9,Apache Cassandra,Cassandra 3.5,"KTAP, Audit Plugin","KTAP, Audit Plugin",Audit Plugin,,,KTAP,KTAP,KTAP,KTAP,,,,
GDP,11.5,CentOS,CentOS 7x,Apache Cassandra,Cassandra 4.1,"KTAP, Audit Plugin","KTAP, Audit Plugin",Audit Plugin,,,KTAP,,KTAP,KTAP,,,,
GDP,11.5,Red Hat,Red Hat 7,Apache Cassandra,Cassandra 4.1,"KTAP, Audit Plugin","KTAP, Audit Plugin",Audit Plugin,,,KTAP,,KTAP,KTAP,,,,Little endian and Big endian supported on Power 8 RHEL 7.x7.6 PPC64LE Cassandra Compression supported
