GDP_Type,Guardium_Version,DataSource,DataSource_Version,VA_supported,Classification_supported,Notes,Download_URL,Readme_URL
GDP,GDP 11.5,Apache Cassandra,4.0.1,,,,https://github.com/IBM/universal-connectors/releases/download/v1.5.6/logstash-filter-cassandra_guardium_plugin_filter.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-cassandra-guardium/README.md
GDP,GDP 11.5,Couchbase,6.6.2-9600,,,,https://github.com/IBM/universal-connectors/releases/download/v1.5.6/logstash-filter-couchbasedb_guardium_plugin_filter.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-couchbasedb-guardium/README.md
GDP,GDP 11.5,CouchDB,3.2.2,,,,https://github.com/IBM/universal-connectors/releases/download/v1.5.6/logstash-filter-couchdb_guardium_filter.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-couchdb-guardium/README.md
GDP,GDP 11.5,Elasticsearch,8.9,,,,https://raw.githubusercontent.com/IBM/universal-connectors/refs/heads/main/filter-plugin/logstash-filter-elasticsearch-guardium/ElasticsearchOverFilebeatPackage/guardium_logstash-offline-plugins-elasticsearch.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-elasticsearch-guardium/README.md
GDP,GDP 11.5,Greenplum,6.21.0,,,,https://github.com/IBM/universal-connectors/releases/download/v1.5.6/logstash-filter-greenplumdb_guardium_filter.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-onPremGreenplumdb-guardium/README.md
GDP,GDP 11.5,HDFS,3.1,,,,https://github.com/IBM/universal-connectors/releases/download/v1.5.6/logstash-filter-hdfs_guardium_filter.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-hdfs-guardium/README.md
GDP,GDP 11.5,Intersystems IRIS,2023.1,,,,https://raw.githubusercontent.com/IBM/universal-connectors/refs/heads/main/filter-plugin/logstash-filter-intersystems-iris-guardium/IntersystemsIrisoverJDBC/guardium_logstash-offline-plugin-intersystemsiris.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-intersystems-iris-guardium/README.md
GDP,GDP 11.5,MariaDB,10.6,,,,https://github.com/IBM/universal-connectors/releases/download/v1.5.6/logstash-filter-mariadb_guardium_filter.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mariadb-guardium/README.md
GDP,GDP 11.5,MS SQL Server,14.00.3281.6,,,,https://raw.githubusercontent.com/IBM/universal-connectors/refs/heads/main/filter-plugin/logstash-filter-mssql-guardium/MssqlOverJdbcPackage/mssql-offline-plugins-7.5.2.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mssql-guardium/MssqlOverJdbcPackage/ONPREMMSSQL_README.md
GDP,GDP 11.5,MongoDB,4.4,,,,,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mongodb-guardium/README.md
